name,category,primaryUPC,storeId,isAvailable,isFeatured,updatedAt,description,subsidised,UOM,disposableFee,_id,markup,stock,isMeasuredInWeight,images,tax,price
Rainbow Sprinkle,Bakery,675786000454,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156fae,41.33,True,False,,0.0,697.0
Wonder White Bread,Bakery,063400021303,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156fb2,30.57,True,False,,0.0,229.0
Nan Tandoori,Bakery,032394201107,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156fb8,33.0,True,False,,0.0,300.0
Wonder Buns,Bakery,063400124585,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156fbc,19.09,True,False,,0.0,419.0
Vidhya - Plain Roti - 12Pk,Bakery,872198003640,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156fbe,75.33,True,False,,0.0,225.0
Best Baker Plum Cake 800G,Bakery,8906133641900,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156fce,40.76,True,False,,0.0,1050.0
Anzac Cookies,Bakery,8906070991571,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156fcf,7.61,True,False,,0.0,92.0
Crispy Ajwain Cookie 2.5Lb,Bakery,627265001841,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156fd2,44.66,True,False,,0.0,613.0
Bm Garlic Bread,Bakery,675786000218,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156fd4,22.68,True,False,,0.0,529.0
Wonder Classic White Bread,Bakery,064947130220,69fc370f5297fb4d17052acc,False,False,,,False,,0.0,6a08cff88106089547156fdc,16.34,True,False,,0.0,257.0
